Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-07-19;0;29;
2024-07-20;0;29,4;
2024-07-21;0;29,1;
2024-07-22;0;29,1;
2024-07-23;0;28,9;
2024-07-24;0;29,3;
2024-07-25;0;29;
2024-07-26;,4;28,7;
2024-07-27;0;28,7;
2024-07-28;0;28,3;
2024-07-29;12,8;28,1;
2024-07-30;0;29,1;
2024-07-31;0;28,2;
2024-08-01;7,8;27;
2024-08-02;,8;28;
2024-08-03;0;28,4;
2024-08-04;0;28,8;
2024-08-05;0;28,9;
2024-08-06;0;28,9;
2024-08-07;0;29,5;
2024-08-08;0;29;
2024-08-09;5;28,3;
2024-08-10;0;28,7;
2024-08-11;0;28,4;
2024-08-12;8,6;27,6;
2024-08-13;19,8;27,7;
2024-08-14;3,8;28;
2024-08-15;3,4;28,1;
2024-08-16;0;28,6;
2024-08-17;0;28,5;
2024-08-18;0;28,7;
2024-08-19;,2;28;
2024-08-20;10,4;28,2;
2024-08-21;,2;28,8;
2024-08-22;0;28;
2024-08-23;,8;28,3;
2024-08-24;2;28,4;
2024-08-25;0;29,2;
2024-08-26;0;29,2;
2024-08-27;0;28,1;
2024-08-28;4;28,3;
2024-08-29;0;28,7;
2024-08-30;0;29,2;
2024-08-31;0;29,3;
2024-09-01;0;29,3;
2024-09-02;0;29,3;
2024-09-03;0;29,3;
2024-09-04;0;29,5;
2024-09-05;0;28,7;
2024-09-06;0;29;
2024-09-07;,2;28,9;
2024-09-08;0;29,2;
2024-09-09;1;29;
2024-09-10;0;29,4;
2024-09-11;0;28,9;
2024-09-12;7,2;27,6;
2024-09-13;1;29,1;
2024-09-14;0;29,3;
2024-09-15;0;29,2;
2024-09-16;0;29;
2024-09-17;0;29,1;
2024-09-18;0;29,3;
2024-09-19;,2;28,7;
2024-09-20;,8;29,4;
2024-09-21;0;28,8;
2024-09-22;0;29,2;
2024-09-23;0;29,1;
2024-09-24;0;28;
2024-09-25;2,4;28,2;
2024-09-26;4,2;28,8;
2024-09-27;,2;28,3;
2024-09-28;1,8;29;
2024-09-29;0;28,6;
2024-09-30;4,2;27,5;
