Nome: BELEM
Codigo Estacao: A201
Latitude: -1.411228
Longitude: -48.439512
Altitude: 21.17
Situacao: Operante
Data Inicial: 2024-01-01
Data Final: 2024-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2024-10-01;30,4;26,9;
2024-10-02;9,8;28,3;
2024-10-03;0;28,5;
2024-10-04;0;28,8;
2024-10-05;0;28,9;
2024-10-06;0;29,1;
2024-10-07;0;28,3;
2024-10-08;,2;29;
2024-10-09;0;29,5;
2024-10-10;0;28,8;
2024-10-11;0;28,7;
2024-10-12;0;29,1;
2024-10-13;1;29,9;
2024-10-14;0;28,8;
2024-10-15;12;27,9;
2024-10-16;13,6;28,2;
2024-10-17;0;28,7;
2024-10-18;0;28,9;
2024-10-19;0;29,1;
2024-10-20;0;29,5;
2024-10-21;0;29,6;
2024-10-22;0;29,2;
2024-10-23;0;28,7;
2024-10-24;5,2;28,5;
2024-10-25;,2;29,1;
2024-10-26;0;29,2;
2024-10-27;0;28,9;
2024-10-28;0;29,1;
2024-10-29;0;28,2;
2024-10-30;,6;27,7;
2024-10-31;,6;28,7;
2024-11-01;0;29,3;
2024-11-02;0;29,3;
2024-11-03;0;29,7;
2024-11-04;0;29,7;
2024-11-05;0;28,3;
2024-11-06;3,4;29,1;
2024-11-07;0;29;
2024-11-08;1,6;29,3;
2024-11-09;0;29,6;
2024-11-10;0;29,8;
2024-11-11;0;28,8;
2024-11-12;0;29,4;
2024-11-13;0;28,1;
2024-11-14;14,6;28,7;
2024-11-15;0;28,4;
2024-11-16;0;29;
2024-11-17;0;29;
2024-11-18;4,8;28,6;
2024-11-19;,2;29,7;
2024-11-20;0;29,2;
2024-11-21;0;28,1;
2024-11-22;28,4;28,7;
2024-11-23;0;28,9;
2024-11-24;0;28,5;
2024-11-25;10,4;29,4;
2024-11-26;0;28,5;
2024-11-27;4,8;28,5;
2024-11-28;,4;28,9;
2024-11-29;0;29,1;
2024-11-30;0;28;
2024-12-01;26,2;28,2;
2024-12-02;,2;27,9;
2024-12-03;2,2;28,5;
2024-12-04;0;28,1;
2024-12-05;34,8;26,9;
2024-12-06;10,4;26,9;
